source,target,edge_type,evidence,config_gates,confidence,detail
src/orchestration/worker.py::start_worker,src/channels/napcat.py::NapCatChannel,CHANNEL_FACTORY,src/orchestration/worker.py:947,channels.enabled contains napcat,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/orchestration/worker.py::start_worker,src/channels/official_qq.py::OfficialQQChannel,CHANNEL_FACTORY,src/orchestration/worker.py:948,channels.enabled contains official_qq,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
OUTBOX:start_run,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,OUTBOX_CONSUMER,src/orchestration/web_dispatcher.py:304,consumer service started,HIGH,
src/web_domain/services.py,OUTBOX:start_run,OUTBOX_PRODUCER,src/web_domain/services.py:206,transaction emits start_run,HIGH,
ROOT:WEB_LIFECYCLE,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,BACKGROUND_CONSUMER,src/orchestration/web_dispatcher.py:304,WEB_REAL_AGENT_ENABLED,HIGH,
OUTBOX:cancel_run,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,OUTBOX_CONSUMER,src/orchestration/web_dispatcher.py:304,consumer service started,HIGH,
src/web_domain/services.py,OUTBOX:cancel_run,OUTBOX_PRODUCER,src/web_domain/services.py:214,transaction emits cancel_run,HIGH,
ROOT:WEB_LIFECYCLE,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,BACKGROUND_CONSUMER,src/orchestration/web_dispatcher.py:304,WEB_REAL_AGENT_ENABLED,HIGH,
OUTBOX:start_research_run,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,OUTBOX_CONSUMER,src/orchestration/web_dispatcher.py:104,consumer service started,HIGH,
src/research_domain/services.py,OUTBOX:start_research_run,OUTBOX_PRODUCER,src/research_domain/services.py:184,transaction emits start_research_run,HIGH,
ROOT:WEB_LIFECYCLE,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,BACKGROUND_CONSUMER,src/orchestration/web_dispatcher.py:104,WEB_REAL_AGENT_ENABLED,HIGH,
OUTBOX:file_action_approval_decided,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,OUTBOX_CONSUMER,src/orchestration/web_dispatcher.py:305,consumer service started,HIGH,
src/file_domain/approvals.py,OUTBOX:file_action_approval_decided,OUTBOX_PRODUCER,src/file_domain/approvals.py:72,transaction emits file_action_approval_decided,HIGH,
ROOT:WEB_LIFECYCLE,src/orchestration/web_dispatcher.py::WebOutboxDispatcher.run_once,BACKGROUND_CONSUMER,src/orchestration/web_dispatcher.py:305,WEB_REAL_AGENT_ENABLED,HIGH,
OUTBOX:publish_terminal_event,src/web_api/terminal_publisher.py::TerminalEventPublisher._run,OUTBOX_CONSUMER,src/web_api/terminal_publisher.py:3,consumer service started,HIGH,
src/web_domain/services.py,OUTBOX:publish_terminal_event,OUTBOX_PRODUCER,src/web_domain/services.py:394,transaction emits publish_terminal_event,HIGH,
OUTBOX:retain_memory,src/orchestration/memory_retention_worker.py::run_memory_retention_loop,OUTBOX_CONSUMER,src/orchestration/memory_retention_worker.py:1,consumer service started,HIGH,
src/web_domain/services.py,OUTBOX:retain_memory,OUTBOX_PRODUCER,src/web_domain/services.py:393,transaction emits retain_memory,HIGH,
ROOT:WEB_LIFECYCLE,src/orchestration/memory_retention_worker.py::run_memory_retention_loop,BACKGROUND_CONSUMER,src/orchestration/memory_retention_worker.py:1,WEB_REAL_AGENT_ENABLED; Hindsight available,HIGH,
OUTBOX:start_artifact_build,src/orchestration/artifact_dispatcher.py::ArtifactOutboxDispatcher.run_once,OUTBOX_CONSUMER,src/orchestration/artifact_dispatcher.py:53,consumer service started,HIGH,
src/web_artifacts/services.py,OUTBOX:start_artifact_build,OUTBOX_PRODUCER,src/web_artifacts/services.py:212,transaction emits start_artifact_build,HIGH,
ROOT:WEB_LIFECYCLE,src/orchestration/artifact_dispatcher.py::ArtifactOutboxDispatcher.run_once,BACKGROUND_CONSUMER,src/orchestration/artifact_dispatcher.py:53,WEB_REAL_AGENT_ENABLED,HIGH,
