module,path,baseline_status,status,new_owner,baseline_import_chain,current_import_chain,current_source_callers,current_test_script_callers,reason
orchestration.run_lifecycle_activities,src/orchestration/run_lifecycle_activities.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> orchestration.run_lifecycle_activities,main -> orchestration.worker -> orchestration.run_lifecycle_activities,src/orchestration/worker.py:130,test/test_w1c_cutover_contract.py:12; test/test_web_temporal_contract.py:172; test/web_persistence/test_web_temporal_e2e.py:26,Canonical import path remains; retain/review actual symbol ownership.
orchestration.run_lifecycle_contracts,src/orchestration/run_lifecycle_contracts.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.web_dispatcher -> orchestration.run_lifecycle_contracts,orchestration.web_worker -> orchestration.web_dispatcher -> orchestration.run_lifecycle_contracts,src/file_runtime/routing.py:12; src/orchestration/agent_lifecycle_workflow.py:28; src/orchestration/artifact_workflow.py:11; src/orchestration/research_schedule.py:22; src/orchestration/research_workflow.py:17; src/orchestration/run_lifecycle_activities.py:14; src/orchestration/web_activities.py:12; src/orchestration/web_activities.py:14; src/orchestration/web_dispatcher.py:23; src/orchestration/web_workers.py:33; src/orchestration/web_workflow.py:14; src/orchestration/web_workflow.py:32,scripts/benchmarks/outbox/outbox_benchmark_worker.py:30; scripts/benchmarks/outbox/outbox_benchmark_worker.py:35; test/support/durable_worker_process.py:50; test/support/research_worker_process.py:16; test/test_durable_agent_contract.py:23; test/test_durable_agent_worker_kill.py:26; test/test_research_temporal_integration.py:19; test/test_research_worker_kill.py:13; test/test_w1c_cutover_contract.py:16; test/test_web_temporal_integration.py:17; test/web_persistence/test_research_schedule_temporal_integration.py:26; test/web_persistence/test_web_temporal_e2e.py:35,Already canonical owner of queue/timeouts/FailureInput/RunLifecycleInput; retain names and wire values.
orchestration.scheduler,src/orchestration/scheduler.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,application.scheduler,main -> orchestration.worker -> orchestration.scheduler,,,,Implementation extracted; old surface retained for W3-B.
orchestration.web_activities,src/orchestration/web_activities.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,test/test_web_temporal_contract.py:622,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
orchestration.web_dispatcher,src/orchestration/web_dispatcher.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.web_dispatcher,orchestration.web_worker -> orchestration.web_dispatcher,src/orchestration/web_worker.py:62; src/orchestration/worker.py:139; src/orchestration/worker.py:377; src/web_domain/workflow_execution.py:8,scripts/benchmarks/outbox/outbox_benchmark_worker.py:38; test/test_durable_agent_contract.py:153; test/test_research_temporal_contract.py:15; test/test_research_temporal_integration.py:20; test/test_w1c_cutover_contract.py:17; test/test_w1c_cutover_contract.py:87; test/test_web_outbox_recovery.py:24; test/test_web_temporal_contract.py:35; test/web_persistence/test_f4_2_approval_temporal.py:33; test/web_persistence/test_outbox_and_lifecycle.py:253; test/web_persistence/test_outbox_and_lifecycle.py:398; test/web_persistence/test_web_temporal_e2e.py:36,Canonical import path remains; retain/review actual symbol ownership.
orchestration.web_reconcile_adapters,src/orchestration/web_reconcile_adapters.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> orchestration.web_reconcile_adapters,main -> orchestration.worker -> orchestration.web_reconcile_adapters,src/orchestration/worker.py:144,,Canonical import path remains; retain/review actual symbol ownership.
orchestration.web_reconciler,src/orchestration/web_reconciler.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> orchestration.web_reconciler,main -> orchestration.worker -> orchestration.web_reconciler,src/orchestration/worker.py:145; src/web_domain/workflow_execution.py:9,test/test_web_temporal_contract.py:42,Canonical import path remains; retain/review actual symbol ownership.
orchestration.web_worker,src/orchestration/web_worker.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker,orchestration.web_worker,,,Canonical import path remains; retain/review actual symbol ownership.
orchestration.web_workers,src/orchestration/web_workers.py,STILL_REACHABLE,STILL_REACHABLE,,orchestration.web_worker -> orchestration.web_workers,orchestration.web_worker -> orchestration.web_workers,src/orchestration/web_worker.py:63; src/orchestration/worker.py:149,test/test_durable_agent_contract.py:24; test/test_web_background_tasks.py:17; test/test_web_outbox_recovery.py:25; test/test_web_temporal_contract.py:43; test/web_persistence/test_web_temporal_e2e.py:41,Canonical import path remains; retain/review actual symbol ownership.
orchestration.web_workflow,src/orchestration/web_workflow.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,test/test_web_temporal_contract.py:49; test/test_web_temporal_replay.py:24,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
orchestration.worker,src/orchestration/worker.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker,main -> orchestration.worker,src/main.py:52; src/orchestration/__init__.py:22; src/orchestration/web_worker.py:64,test/test_qq_canonical_protocol.py:74; test/test_w1_gate_resources.py:14; test/test_w1_gate_resources.py:8; test/test_web_background_tasks.py:18; test/test_worker_identity_config.py:5,Production composition and scheduled/tool registration; W4 cleanup deferred.
orchestration.workflow,src/orchestration/workflow.py,SURVIVOR_EXTRACT_REQUIRED,STILL_REACHABLE,memory.workflows (ReflectWorkflow/MetricsReportWorkflow only),main -> orchestration -> orchestration.workflow,main -> orchestration -> orchestration.workflow,src/orchestration/__init__.py:18,,Scheduled survivors extracted; conservative reachability remains only through dormant orchestration.__getattr__(OrchestrationWorkflow). W3-B must remove that export before deleting file.
session,src/session/__init__.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> session,main -> orchestration.worker -> session,src/application/memory.py:13; src/application/session_archive.py:37; src/orchestration/worker.py:53; src/session/db.py:1; src/session/db.py:113; src/session/db.py:9; src/session/models.py:1; src/session/store.py:1; src/session/store.py:37; src/session/workspace.py:1; src/session/workspace.py:27; src/session/workspace.py:28,test/test_workspace.py:14; test/test_workspace.py:15; test/test_workspace.py:16,Eager exports import SessionStore/workspace when worker imports session.db.
session.db,src/session/db.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> session.db,main -> orchestration.worker -> session.db,src/orchestration/worker.py:53; src/session/__init__.py:7; src/session/workspace.py:27,test/test_workspace.py:15,Worker still constructs WorkspaceDB; retain pending composition decision (W4).
session.models,src/session/models.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> session -> session.models,main -> orchestration.worker -> session -> session.models,src/session/__init__.py:4; src/session/db.py:113; src/session/db.py:9; src/session/store.py:37; src/session/workspace.py:28,test/test_workspace.py:14,WorkspaceDB and eager session exports require these models; not the PG Session DTO.
session.store,src/session/store.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> session -> session.store,main -> orchestration.worker -> session -> session.store,src/application/memory.py:13; src/session/__init__.py:5,,Import-reachable via session.__init__; canonical QQ does not construct SessionStore. Do not infer active authority from this edge.
session.workspace,src/session/workspace.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> session -> session.workspace,main -> orchestration.worker -> session -> session.workspace,src/application/session_archive.py:37; src/session/__init__.py:6,test/test_workspace.py:16,"Import-reachable via session.__init__; archive helpers serve retained SessionArchiveService only, no canonical archive caller found."
storage,src/storage/__init__.py,STILL_REACHABLE,STILL_REACHABLE,,web_api.app -> storage,web_api.app -> storage,src/bootstrap/qq.py:15; src/file_domain/persistent.py:17; src/file_runtime/output.py:11; src/orchestration/document_worker.py:16; src/orchestration/worker.py:54; src/orchestration/worker.py:55; src/orchestration/worker.py:633; src/storage/file_store.py:1; src/storage/file_store.py:13; src/storage/protocols.py:1; src/storage/redis.py:1; src/storage/redis.py:21; src/storage/tenant_file_store.py:1; src/web_api/app.py:52; src/web_domain/file_cleanup.py:9; src/web_domain/file_services.py:17; src/web_domain/file_services.py:20; src/web_domain/file_services.py:23; src/web_domain/file_services.py:27; src/workspace/file_scope.py:13,test/test_run_file_workspace.py:9; test/test_tenant_file_store.py:10; test/test_workspace.py:17; test/web_api/test_binary_file_upload.py:15; test/web_api/test_research_file_composition.py:17; test/web_persistence/test_document_worker_persistence.py:10; test/web_persistence/test_file_cleanup.py:8; test/web_persistence/test_file_lineage.py:13; test/web_persistence/test_file_output_persistence.py:11; test/web_persistence/test_persistent_web_files.py:15,Shared storage infrastructure: actual canonical callers below; not QQ-only storage.
storage.file_store,src/storage/file_store.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> storage.file_store,main -> orchestration.worker -> storage.file_store,src/bootstrap/qq.py:15; src/orchestration/worker.py:54; src/storage/__init__.py:9,test/test_workspace.py:17,Shared storage infrastructure: actual canonical callers below; not QQ-only storage.
storage.protocols,src/storage/protocols.py,STILL_REACHABLE,STILL_REACHABLE,,web_api.app -> storage -> storage.protocols,web_api.app -> storage -> storage.protocols,src/storage/__init__.py:7; src/storage/file_store.py:13; src/storage/redis.py:21,,Shared storage infrastructure: actual canonical callers below; not QQ-only storage.
storage.redis,src/storage/redis.py,STILL_REACHABLE,STILL_REACHABLE,,main -> orchestration.worker -> storage.redis,main -> orchestration.worker -> storage.redis,src/orchestration/worker.py:633; src/storage/__init__.py:8,,Shared storage infrastructure: actual canonical callers below; not QQ-only storage.
storage.tenant_file_store,src/storage/tenant_file_store.py,STILL_REACHABLE,STILL_REACHABLE,,web_api.app -> storage.tenant_file_store,web_api.app -> storage.tenant_file_store,src/file_domain/persistent.py:17; src/file_runtime/output.py:11; src/orchestration/document_worker.py:16; src/orchestration/worker.py:55; src/web_api/app.py:52; src/web_domain/file_cleanup.py:9; src/web_domain/file_services.py:17; src/web_domain/file_services.py:20; src/web_domain/file_services.py:23; src/web_domain/file_services.py:27; src/workspace/file_scope.py:13,test/test_run_file_workspace.py:9; test/test_tenant_file_store.py:10; test/web_api/test_binary_file_upload.py:15; test/web_api/test_research_file_composition.py:17; test/web_persistence/test_document_worker_persistence.py:10; test/web_persistence/test_file_cleanup.py:8; test/web_persistence/test_file_lineage.py:13; test/web_persistence/test_file_output_persistence.py:11; test/web_persistence/test_persistent_web_files.py:15,Shared storage infrastructure: actual canonical callers below; not QQ-only storage.
web_api.app,src/web_api/app.py,STILL_REACHABLE,STILL_REACHABLE,,web_api.app,web_api.app,src/web_api/__init__.py:3; src/web_api/__main__.py:11,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:29; test/test_file_action_approval_contract.py:5; test/web_api/conftest.py:12; test/web_api/test_file_protocol_middleware.py:6,Canonical import path remains; retain/review actual symbol ownership.
web_api.fake_executor,src/web_api/fake_executor.py,STILL_REACHABLE,STILL_REACHABLE,,web_api.app -> web_api.fake_executor,web_api.app -> web_api.fake_executor,src/web_api/app.py:82,,Imported by API composition; fake_executor_enabled controls non-production execution. Event projection now owned by web_domain.run_events; file remains reachable.
,scripts/session-viewer.py,UNKNOWN,UNKNOWN,,,,,,Operational WAL/archive viewer; reads files rather than importing SessionStore. Operator usage cannot be proved from the runtime import graph.
,scripts/merge-account.py,UNKNOWN,UNKNOWN,,,,,,Operational JSON rewrite script; no production module import is evidence of operator usage. Review explicitly in W3-B; never run to delete personal data.
,persistence/migrations/*,STILL_REACHABLE,STILL_REACHABLE,,,,,,Canonical clean-schema installation chain; no migration deletion authorized.
